"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"New Jersey City University","New Jersey","NJ","Public","4 Year",12.738,12.051,24789,21573,34311
"New Jersey Institute of Technology","New Jersey","NJ","Public","4 Year",13.6,17.338,30938,32750,46350
"New Mexico Highlands University","New Mexico","NM","Public","4 Year",7.872,6.15,14022,10302,18174
"New Mexico Institute of Mining and Technology","New Mexico","NM","Public","4 Year",8.51,7.77,16280,22268,30778
"New Mexico Junior College","New Mexico","NM","Public","2 Year",4.35,1.452,5802,2196,6546
"New Mexico Military Institute","New Mexico","NM","Public","2 Year",5.576,6.797,12373,14469,20045
"New Mexico State University","New Mexico","NM","Public","4 Year",9.252,7.368,16620,23508,32760
"New Mexico State University at Grants","New Mexico","NM","Public","2 Year",0.536,2.064,2600,4104,4640
"New Orleans Baptist Theological Seminary","Louisiana","LA","Private","4 Year",2.625,7.775,10400,7775,10400
"New York Institute of Technology","New York","NY","Private","4 Year",14.29,36.89,51180,36890,51180
"New York School of Interior Design","New York","NY","Private","4 Year",21.3,30.834,52134,30834,52134
"New York University","New York","NY","Private","4 Year",18.156,51.828,69984,51828,69984
"Newberry College","South Carolina","SC","Private","4 Year",10.666,26.424,37090,26424,37090
"Newbury College","Massachusetts","MA","Private","4 Year",14.9,35.54,50440,35540,50440
"Newman University","Kansas","KS","Private","4 Year",8.326,30.724,39050,30724,39050
"NHTI-Concord's Community College","New Hampshire","NH","Public","2 Year",9.552,7.2,16752,15450,25002
"Niagara University","New York","NY","Private","4 Year",13.2,33.18,46380,33180,46380
"Nicholls State University","Louisiana","LA","Public","4 Year",9.938,7.982,17920,9075,19013
"Nichols College","Massachusetts","MA","Private","4 Year",13.95,34.8,48750,34800,48750
"Norfolk State University","Virginia","VA","Public","4 Year",10.36,9.49,19850,21418,31778
"North Carolina Agricultural and Technical State University","North Carolina","NC","Public","4 Year",7.624,6.612,14236,19822,27446
"North Carolina Central University","North Carolina","NC","Public","4 Year",8.909,6.348,15257,19055,27964
"North Carolina State University","North Carolina","NC","Public","4 Year",11.078,9.101,20179,28444,39522
"North Carolina Wesleyan College","North Carolina","NC","Private","4 Year",10.8,31,41800,31000,41800
"North Central College","Illinois","IL","Private","4 Year",11.019,38.88,49899,38880,49899
"North Central Kansas Technical College","Kansas","KS","Public","2 Year",5.815,3.93,9745,3930,9745
"North Central Michigan College","Michigan","MI","Public","2 Year",6.3,3.57,9870,7710,14010
"North Central Missouri College","Missouri","MO","Public","2 Year",6.055,3.51,9565,6210,12265
"North Central Texas College","Texas","TX","Public","2 Year",3.97,2.73,6700,7980,11950
"North Central University","Minnesota","MN","Private","4 Year",7.4,24.24,31640,24240,31640
"North Country Community College","New York","NY","Public","2 Year",10.35,6.008,16358,12638,22988
"North Dakota State College of Science","North Dakota","ND","Public","2 Year",6.22,5.132,11352,12402,18622
"North Dakota State University","North Dakota","ND","Public","4 Year",8.565,9.294,17859,13273,21838
"North Georgia Technical College","Georgia","GA","Public","2 Year",4,3.268,7268,5938,9938
"North Greenville University","South Carolina","SC","Private","4 Year",10.24,19.75,29990,19750,29990
"North Idaho College","Idaho","ID","Public","2 Year",7.5,4.245,11745,10815,18315
"North Iowa Area Community College","Iowa","IA","Public","2 Year",7.128,5.408,12536,7721,14849
"North Park University","Illinois","IL","Private","4 Year",9.866,29.19,39056,29190,39056
"Northampton Community College","Pennsylvania","PA","Public","2 Year",9.094,4.38,13474,14100,23194
"Northeast Community College","Nebraska","NE","Public","2 Year",8.605,3.48,12085,4635,13240
"Northeast Mississippi Community College","Mississippi","MS","Public","2 Year",4.48,3.816,8296,6656,11136
"Northeast Texas Community College","Texas","TX","Public","2 Year",6.3,2.849,9149,6149,12449
"Northeastern Illinois University","Illinois","IL","Public","4 Year",11.424,14.022,25446,25907,37331
"Northeastern Junior College","Colorado","CO","Public","2 Year",7.08,5.072,12152,7910,14990
"Northeastern Oklahoma Agricultural and Mechanical College","Oklahoma","OK","Public","2 Year",5.698,4.673,10371,10673,16371
"Northeastern State University","Oklahoma","OK","Public","4 Year",7.638,6.65,14288,14720,22358
"Northeastern University","Massachusetts","MA","Private","4 Year",16.88,51.387,68267,51387,68267
"Northern Arizona University","Arizona","AZ","Public","4 Year",10.282,11.564,21846,25828,36110
"Northern Illinois University","Illinois","IL","Public","4 Year",10.88,12.262,23142,12262,23142
"Northern Kentucky University","Kentucky","KY","Public","4 Year",10.022,10.032,20054,19680,29702
"Northern Maine Community College","Maine","ME","Public","2 Year",7.818,3.82,11638,6640,14458
"Northern Michigan University","Michigan","MI","Public","4 Year",10.666,10.988,21654,16484,27150
"Northern Oklahoma College","Oklahoma","OK","Public","2 Year",7.08,4.17,11250,10755,17835
"Northern State University","South Dakota","SD","Public","4 Year",8.029,8.498,16527,11471,19500
"Northern Vermont University","Vermont","VT","Public","4 Year",10.598,12.434,23032,25754,36352
"Northland College","Wisconsin","WI","Private","4 Year",9.176,36.183,45359,36183,45359
"Northland Community & Technical College","Minnesota","MN","Public","2 Year",4.5,5.549,10049,5549,10049
"Northpoint Bible College","Massachusetts","MA","Private","4 Year",9.5,12.58,22080,12580,22080
"Northwest Christian University","Oregon","OR","Private","4 Year",9.3,30.05,39350,30050,39350
"Northwest College","Wyoming","WY","Public","2 Year",6.09,3.42,9510,7932,14022
"Northwest Indian College","Washington","WA","Public","2 Year",4.95,5.445,10395,14310,19260
"Northwest Kansas Technical College","Kansas","KS","Public","2 Year",4.85,8.3,13150,8300,13150
"Northwest Mississippi Community College","Mississippi","MS","Public","2 Year",3.55,3,6550,5400,8950
"Northwest Missouri State University","Missouri","MO","Public","4 Year",10.016,9.805,19821,16457,26473
"Northwest Nazarene University","Idaho","ID","Private","4 Year",7.4,29.3,36700,29300,36700
"Northwest University","Washington","WA","Private","4 Year",8.63,31.54,40170,31540,40170
"Northwestern College","Iowa","IA","Private","4 Year",9.2,31.1,40300,31100,40300
"Northwestern College","Illinois","IL","For Profit","2 Year",12.402,18.485,30887,18485,30887
"Northwestern Michigan College","Michigan","MI","Public","2 Year",8.75,4.174,12924,9611,18361
"Northwestern Oklahoma State University","Oklahoma","OK","Public","4 Year",4.78,7.036,11816,14153,18933
"Northwestern Polytechnic University","California","CA","Private","4 Year",6,10.7,16700,10700,16700
"Northwestern State University","Louisiana","LA","Public","4 Year",8.884,8.58,17464,19368,28252
"Northwestern University","Illinois","IL","Private","4 Year",16.626,54.567,71193,54567,71193
"Northwood University: Michigan","Michigan","MI","Private","4 Year",10.48,27.06,37540,27060,37540
"Norwich University","Vermont","VT","Private","4 Year",13.84,40.016,53856,40016,53856
"Notre Dame College","Ohio","OH","Private","4 Year",9.98,30.16,40140,30160,40140
"Notre Dame de Namur University","California","CA","Private","4 Year",14.494,35.35,49844,35350,49844
"Notre Dame of Maryland University","Maryland","MD","Private","4 Year",11.85,36.9,48750,36900,48750
"Nova Southeastern University","Florida","FL","Private","4 Year",13.25,30.9,44150,30900,44150
"Nyack College","New York","NY","Private","4 Year",9.45,25.35,34800,25350,34800
"Oak Hills Christian College","Minnesota","MN","Private","4 Year",6.984,17.314,24298,17314,24298
"Oakland City University","Indiana","IN","Private","4 Year",9.9,24,33900,24000,33900
"Oakland University","Michigan","MI","Public","4 Year",10.1,12.606,22706,24230,34330
"Oakwood University","Alabama","AL","Private","4 Year",9.312,16.72,26032,16720,26032
"Oberlin College","Ohio","OH","Private","4 Year",16.338,55.054,71392,55054,71392
"Occidental College","California","CA","Private","4 Year",15.496,54.686,70182,54686,70182
"Odessa College","Texas","TX","Public","2 Year",5.412,2.794,8206,5450,10862
"Oglethorpe University","Georgia","GA","Private","4 Year",13.2,38.1,51300,38100,51300
"Ohio Christian University","Ohio","OH","Private","4 Year",8.076,23.306,31382,23306,31382
"Ohio Dominican University","Ohio","OH","Private","4 Year",10.948,31.08,42028,31080,42028
"Ohio Northern University","Ohio","OH","Private","4 Year",11.65,32.26,43910,32260,43910
"Ohio State University Agricultural Technical Institute","Ohio","OH","Public","2 Year",8.696,7.658,16354,27674,36370
"Ohio State University: Columbus Campus","Ohio","OH","Public","4 Year",12.434,10.726,23160,30742,43176
"Ohio State University: Mansfield Campus","Ohio","OH","Public","4 Year",8.094,7.644,15738,27660,35754
"Ohio State University: Newark Campus","Ohio","OH","Public","4 Year",9.268,7.644,16912,27660,36928
"Ohio University","Ohio","OH","Public","4 Year",11.83,12.192,24022,21656,33486
"Ohio Valley University","West Virginia","WV","Private","4 Year",7.98,21.9,29880,21900,29880
"Ohio Wesleyan University","Ohio","OH","Private","4 Year",12.43,45.76,58190,45760,58190
"Ohr Somayach Tanenbaum Education Center","New York","NY","Private","4 Year",9,9,18000,9000,18000
"Oklahoma Baptist University","Oklahoma","OK","Private","4 Year",7.35,28.258,35608,28258,35608
"Oklahoma Christian University","Oklahoma","OK","Private","4 Year",8.19,22.76,30950,22760,30950
"Oklahoma City University","Oklahoma","OK","Private","4 Year",8.896,31.026,39922,31026,39922
"Oklahoma Panhandle State University","Oklahoma","OK","Public","4 Year",4.695,8.194,12889,9133,13828
"Oklahoma State University","Oklahoma","OK","Public","4 Year",8.549,9.019,17568,24539,33088
"Oklahoma State University Institute of Technology: Okmulgee","Oklahoma","OK","Public","2 Year",6.988,5.55,12538,11160,18148
"Oklahoma Wesleyan University","Oklahoma","OK","Private","4 Year",8.644,26.956,35600,26956,35600
"Old Dominion University","Virginia","VA","Public","4 Year",11.62,10.872,22492,29772,41392
"Olivet College","Michigan","MI","Private","4 Year",9.59,27.7,37290,27700,37290
"Olivet Nazarene University","Illinois","IL","Private","4 Year",7.9,36.07,43970,36070,43970
"Olympic College","Washington","WA","Public","2 Year",5.925,4.252,10177,4784,10709
"Onondaga Community College","New York","NY","Public","2 Year",10.14,5.484,15624,10384,20524
"Oral Roberts University","Oklahoma","OK","Private","4 Year",9.45,27.728,37178,27728,37178
"Oregon Institute of Technology","Oregon","OR","Public","4 Year",9.058,9.987,19045,28056,37114
"Oregon State University","Oregon","OR","Public","4 Year",12.855,11.166,24021,30141,42996
"Otero Junior College","Colorado","CO","Public","2 Year",7.112,4.882,11994,7861,14973
"Otis College of Art and Design","California","CA","Private","4 Year",15.1,44.58,59680,44580,59680
"Ottawa University","Kansas","KS","Private","4 Year",11.9,27.63,39530,27630,39530
"Otterbein University","Ohio","OH","Private","4 Year",11.258,31.874,43132,31874,43132
"Ouachita Baptist University","Arkansas","AR","Private","4 Year",7.88,26.79,34670,26790,34670
"Our Lady of the Lake University of San Antonio","Texas","TX","Private","4 Year",9.602,28.74,38342,28740,38342
"Ozark Christian College","Missouri","MO","Private","4 Year",6.16,12.62,18780,12620,18780
"Pace University","New York","NY","Private","4 Year",19.2,45.28,64480,45280,64480
"Pace University: Pleasantville/Briarcliff","New York","NY","Private","4 Year",16.6,45.28,61880,45280,61880
"Pacific Lutheran University","Washington","WA","Private","4 Year",10.79,42.066,52856,42066,52856
"Pacific Northwest College of Art","Oregon","OR","Private","4 Year",12.86,38.25,51110,38250,51110
"Pacific Union College","California","CA","Private","4 Year",8.31,30.06,38370,30060,38370
"Pacific University","Oregon","OR","Private","4 Year",12.528,44.298,56826,44298,56826
"Paine College","Georgia","GA","Private","4 Year",6.662,15.595,22257,15595,22257
"Palm Beach Atlantic University","Florida","FL","Private","4 Year",10.12,31.45,41570,31450,41570
"Panola College","Texas","TX","Public","2 Year",5.016,2.4,7416,5190,10206
"Paris Junior College","Texas","TX","Public","2 Year",5,2.4,7400,5400,10400
"Park University","Missouri","MO","Private","4 Year",8.2,12.65,20850,12650,20850
"Parsons The New School for Design","New York","NY","Private","4 Year",18,49.847,67847,49847,67847
"Patrick Henry College","Virginia","VA","Private","4 Year",10.728,27.922,38650,27922,38650
"Paul Quinn College","Texas","TX","Private","4 Year",6,8.495,14495,8495,14495
"Paul Smith's College","New York","NY","Private","4 Year",12.24,28.484,40724,28484,40724
"Pearl River Community College","Mississippi","MS","Public","2 Year",4.9,3.5,8400,5898,10798
"Penn State Abington","Pennsylvania","PA","Public","4 Year",8.1,14.524,22624,23278,31378
"Penn State Altoona","Pennsylvania","PA","Public","4 Year",11.57,15.198,26768,24450,36020
"Penn State Beaver","Pennsylvania","PA","Public","4 Year",11.57,13.702,25272,21886,33456
"Penn State Berks","Pennsylvania","PA","Public","4 Year",12.73,15.198,27928,24450,37180
"Penn State Brandywine","Pennsylvania","PA","Public","4 Year",12.18,14.468,26648,23028,35208
"Penn State Erie, The Behrend College","Pennsylvania","PA","Public","4 Year",11.57,15.198,26768,24450,36020
"Penn State Greater Allegheny","Pennsylvania","PA","Public","4 Year",11.57,13.702,25272,21886,33456
"Penn State Harrisburg","Pennsylvania","PA","Public","4 Year",13.28,15.198,28478,24450,37730
"Penn State Hazleton","Pennsylvania","PA","Public","4 Year",11.57,14.468,26038,23028,34598
"Penn State Mont Alto","Pennsylvania","PA","Public","4 Year",11.57,13.702,25272,21886,33456
"Penn State Schuylkill","Pennsylvania","PA","Public","4 Year",8.618,14.468,23086,23028,31646
"Penn State University Park","Pennsylvania","PA","Public","4 Year",11.57,18.454,30024,34858,46428
"Pennsylvania College of Technology","Pennsylvania","PA","Public","4 Year",11.544,16.74,28284,23880,35424
"Pennsylvania Institute of Technology","Pennsylvania","PA","Private","2 Year",6,13.365,19365,13365,19365
"Pepperdine University","California","CA","Private","4 Year",15.32,53.932,69252,53932,69252
"Peru State College","Nebraska","NE","Public","4 Year",8.01,7.452,15462,7482,15492
"Pfeiffer University","North Carolina","NC","Private","4 Year",11.226,30.234,41460,30234,41460
"Philander Smith College","Arkansas","AR","Private","4 Year",8.25,12.414,20664,12414,20664
"Piedmont College","Georgia","GA","Private","4 Year",10.168,25.92,36088,25920,36088
"Piedmont International University","North Carolina","NC","Private","4 Year",7.81,10.97,18780,10970,18780
"Pierpont Community and Technical College","West Virginia","WV","Public","2 Year",9.98,4.918,14898,11472,21452
"Pine Manor College","Massachusetts","MA","Private","4 Year",13.83,31.66,45490,31660,45490
"Pittsburg State University","Kansas","KS","Public","4 Year",7.778,7.298,15076,18642,26420
"Pitzer College","California","CA","Private","4 Year",16.844,54.056,70900,54056,70900
"Plymouth State University","New Hampshire","NH","Public","4 Year",11.1,14.099,25199,22769,33869
"Point Loma Nazarene University","California","CA","Private","4 Year",10.45,35.7,46150,35700,46150
"Point Park University","Pennsylvania","PA","Private","4 Year",12.2,31.45,43650,31450,43650
"Point University","Georgia","GA","Private","4 Year",7.9,20.6,28500,20600,28500
"Pomona College","California","CA","Private","4 Year",16.716,52.78,69496,52780,69496
"Pontifical College Josephinum","Ohio","OH","Private","4 Year",10.6,23.285,33885,23285,33885
"Portland State University","Oregon","OR","Public","4 Year",10.428,9.105,19533,27060,37488
"Post University","Connecticut","CT","For Profit","4 Year",11.6,31.05,42650,31050,42650
"Potomac State College of West Virginia University","West Virginia","WV","Public","2 Year",8.524,4.488,13012,11376,19900
"Prairie View A&M University","Texas","TX","Public","4 Year",8.925,10.533,19458,24843,33768
"Pratt Community College","Kansas","KS","Public","2 Year",5.641,3.428,9069,3728,9369
"Pratt Institute","New York","NY","Private","4 Year",12.622,51.87,64492,51870,64492
"Presbyterian College","South Carolina","SC","Private","4 Year",10.48,38.66,49140,38660,49140
"Prescott College","Arizona","AZ","Private","4 Year",7.7,31.485,39185,31485,39185
"Presentation College","South Dakota","SD","Private","4 Year",9.578,19.995,29573,19995,29573
"Princeton University","New Jersey","NJ","Private","4 Year",16.29,49.33,65620,49330,65620
"Principia College","Illinois","IL","Private","4 Year",11.61,29.47,41080,29470,41080
"Providence Christian College","California","CA","Private","4 Year",9.694,29.372,39066,29372,39066
"Providence College","Rhode Island","RI","Private","4 Year",14.7,50.39,65090,50390,65090
"Purdue University","Indiana","IN","Public","4 Year",10.03,9.992,20022,28794,38824
"Purdue University Northwest","Indiana","IN","Public","4 Year",7.64,7.686,15326,17368,25008
"Queens University of Charlotte","North Carolina","NC","Private","4 Year",10.86,34.684,45544,34684,45544
"Quincy University","Illinois","IL","Private","4 Year",10.5,28.462,38962,28462,38962
"Quinnipiac University","Connecticut","CT","Private","4 Year",14.54,47.96,62500,47960,62500
"Rabbi Jacob Joseph School","New Jersey","NJ","Private","4 Year",3.3,14.4,17700,14400,17700
"Rabbinical Academy Mesivta Rabbi Chaim Berlin","New York","NY","Private","4 Year",3,12.8,15800,12800,15800
"Rabbinical College Beth Shraga","New York","NY","Private","4 Year",5.7,13.55,19250,13550,19250
"Rabbinical College Bobover Yeshiva B'nei Zion","New York","NY","Private","4 Year",4.5,7.75,12250,7750,12250
"Rabbinical College of America","New Jersey","NJ","Private","4 Year",7.5,11.5,19000,11500,19000
"Rabbinical College of Long Island","New York","NY","Private","4 Year",4.9,11.575,16475,11575,16475
"Rabbinical College of Ohr Shimon Yisroel","New York","NY","Private","4 Year",1.6,13.5,15100,13500,15100
"Rabbinical College of Telshe","Ohio","OH","Private","4 Year",3,10.8,13800,10800,13800
"Rabbinical Seminary of America","New York","NY","Private","4 Year",6,9.8,15800,9800,15800
"Radford University","Virginia","VA","Public","4 Year",9.406,11.21,20616,22845,32251
"Rainy River Community College","Minnesota","MN","Public","2 Year",4.28,5.325,9605,6507,10787
"Ramapo College of New Jersey","New Jersey","NJ","Public","4 Year",12.45,14.374,26824,23715,36165
"Randall University","Oklahoma","OK","Private","4 Year",7.704,14.09,21794,14090,21794
"Randolph College","Virginia","VA","Private","4 Year",13.58,39.585,53165,39585,53165
"Randolph-Macon College","Virginia","VA","Private","4 Year",11.86,41.4,53260,41400,53260
"Ranger College","Texas","TX","Public","2 Year",4.231,3.065,7296,5765,9996
"Redlands Community College","Oklahoma","OK","Public","2 Year",7.468,5.325,12793,7891,15359
"Reed College","Oregon","OR","Private","4 Year",14.21,56.34,70550,56340,70550
"Reedley College","California","CA","Public","2 Year",6.668,1.42,8088,9160,15828
"Regent University","Virginia","VA","Private","4 Year",9.12,18.108,27228,18108,27228
"Regis College","Massachusetts","MA","Private","4 Year",15.18,41.015,56195,41015,56195
"Regis University","Colorado","CO","Private","4 Year",11.56,36.81,48370,36810,48370
"Reinhardt University","Georgia","GA","Private","4 Year",10.2,23.3,33500,23300,33500
"Rensselaer Polytechnic Institute","New York","NY","Private","4 Year",15.26,53.88,69140,53880,69140
"Research College of Nursing","Missouri","MO","For Profit","4 Year",9.97,37.6,47570,37600,47570
"Restaurant School at Walnut Hill College","Pennsylvania","PA","For Profit","4 Year",7.2,13.58,20780,13580,20780
"Rhode Island College","Rhode Island","RI","Public","4 Year",11.829,8.929,20758,21692,33521
"Rhode Island School of Design","Rhode Island","RI","Private","4 Year",13.4,50.96,64360,50960,64360
"Rhodes College","Tennessee","TN","Private","4 Year",11.403,47.89,59293,47890,59293
"Rice University","Texas","TX","Private","4 Year",14,47.35,61350,47350,61350
"Richard Bland College","Virginia","VA","Public","2 Year",12.204,8.1,20304,21810,34014
"Rider University","New Jersey","NJ","Private","4 Year",14.7,41.31,56010,41310,56010
"Ringling College of Art and Design","Florida","FL","Private","4 Year",15.07,46.42,61490,46420,61490
"Rio Salado College","Arizona","AZ","Public","2 Year",7.584,1.898,9482,6222,13806
"Ripon College","Wisconsin","WI","Private","4 Year",8.4,43.808,52208,43808,52208
"Rivier University","New Hampshire","NH","Private","4 Year",12.526,31.79,44316,31790,44316
"Roanoke College","Virginia","VA","Private","4 Year",13.69,44.03,57720,44030,57720
"Robert Morris University","Pennsylvania","PA","Private","4 Year",11.4,30.3,41700,30300,41700
"Roberts Wesleyan College","New York","NY","Private","4 Year",10.628,31.818,42446,31818,42446
"Rochester College","Michigan","MI","Private","4 Year",7.376,24.218,31594,24218,31594
"Rochester Institute of Technology","New York","NY","Private","4 Year",13.046,44.13,57176,44130,57176
"Rockford University","Illinois","IL","Private","4 Year",8.66,30.93,39590,30930,39590
"Rockhurst University","Missouri","MO","Private","4 Year",10.2,37.59,47790,37590,47790
"Rocky Mountain College","Montana","MT","Private","4 Year",8.33,28.512,36842,28512,36842
"Roger Williams University","Rhode Island","RI","Private","4 Year",15.89,34.522,50412,34522,50412
"Rogers State University","Oklahoma","OK","Public","4 Year",8.616,6.87,15486,15210,23826
"Rollins College","Florida","FL","Private","4 Year",14.735,49.76,64495,49760,64495
"Roosevelt University","Illinois","IL","Private","4 Year",13.223,29.832,43055,29832,43055
"Rose State College","Oklahoma","OK","Public","2 Year",6.37,4.319,10689,10696,17066
"Rose-Hulman Institute of Technology","Indiana","IN","Private","4 Year",14.766,49.871,64637,49871,64637
"Rosedale Bible College","Ohio","OH","Private","2 Year",5.65,8.731,14381,8731,14381
"Rosemont College","Pennsylvania","PA","Private","4 Year",12.438,19.9,32338,19900,32338
"Rowan University","New Jersey","NJ","Public","4 Year",12.552,13.697,26249,22339,34891
"Rust College","Mississippi","MS","Private","4 Year",4.3,9.9,14200,9900,14200
"Rutgers University","New Jersey","NJ","Public","4 Year",12.706,14.974,27680,31282,43988
"Rutgers, The State University of New Jersey: Camden Campus","New Jersey","NJ","Public","4 Year",12.336,14.835,27171,30613,42949
"Rutgers, The State University of New Jersey: Newark Campus","New Jersey","NJ","Public","4 Year",13.536,14.409,27945,30717,44253
"Sacred Heart Major Seminary","Michigan","MI","Private","4 Year",10.675,19.84,30515,19840,30515
"Sacred Heart University","Connecticut","CT","Private","4 Year",15.31,41.42,56730,41420,56730
"Saginaw Valley State University","Michigan","MI","Public","4 Year",10.186,10.308,20494,24215,34401
"Saint Anselm College","New Hampshire","NH","Private","4 Year",14.5,41.2,55700,41200,55700
"Saint Augustine's University","North Carolina","NC","Private","4 Year",7.692,17.89,25582,17890,25582
"Saint Bonaventure University","New York","NY","Private","4 Year",13.055,34.301,47356,34301,47356
"Saint Cloud State University","Minnesota","MN","Public","4 Year",8.9,8.912,17812,17146,26046
"Saint Joseph's College","Indiana","IN","Private","4 Year",13.28,34.88,48160,34880,48160
"Saint Joseph's College of Maine","Maine","ME","Private","4 Year",13.68,35.65,49330,35650,49330
"Saint Joseph's University","Pennsylvania","PA","Private","4 Year",14.84,44.973,59813,44973,59813
"Saint Leo University","Florida","FL","Private","4 Year",10.57,22.28,32850,22280,32850
"Saint Louis University","Missouri","MO","Private","4 Year",12.29,43.884,56174,43884,56174
"Saint Martin's University","Washington","WA","Private","4 Year",11.445,37.356,48801,37356,48801
"Saint Mary's College","Indiana","IN","Private","4 Year",12.58,42.22,54800,42220,54800
"Saint Mary's College of California","California","CA","Private","4 Year",15.37,47.28,62650,47280,62650
"Saint Michael's College","Vermont","VT","Private","4 Year",12.22,45.375,57595,45375,57595
"Saint Peter's University","New Jersey","NJ","Private","4 Year",15.414,37.486,52900,37486,52900
"Saint Thomas University","Florida","FL","Private","4 Year",11.7,33.222,44922,33222,44922
"Saint Xavier University","Illinois","IL","Private","4 Year",11.34,33.88,45220,33880,45220
"Salem College","North Carolina","NC","Private","4 Year",11.85,29.416,41266,29416,41266
"Salem International University","West Virginia","WV","For Profit","4 Year",7.48,12.92,20400,12920,20400
"Salem State University","Massachusetts","MA","Public","4 Year",12.722,10.884,23606,17024,29746
"Salisbury University","Maryland","MD","Public","4 Year",11.95,9.824,21774,19526,31476
"Salve Regina University","Rhode Island","RI","Private","4 Year",14.5,40.55,55050,40550,55050
"Sam Houston State University","Texas","TX","Public","4 Year",9.386,10.183,19569,22633,32019
"Samford University","Alabama","AL","Private","4 Year",10.55,31.65,42200,31650,42200
"San Diego Christian College","California","CA","Private","4 Year",11.64,31.404,43044,31404,43044
"San Diego State University","California","CA","Public","4 Year",16.735,7.488,24223,19368,36103
"San Francisco Art Institute","California","CA","Private","4 Year",15.709,46.534,62243,46534,62243
"San Francisco Conservatory of Music","California","CA","Private","4 Year",14.51,46.11,60620,46110,60620
"San Francisco State University","California","CA","Public","4 Year",15.151,7.26,22411,19140,34291
"San Jose State University","California","CA","Public","4 Year",16.442,7.796,24238,17300,33742
"Santa Clara University","California","CA","Private","4 Year",14.91,51.711,66621,51711,66621
"Sarah Lawrence College","New York","NY","Private","4 Year",15.37,55.9,71270,55900,71270
"Savannah College of Art and Design","Georgia","GA","Private","4 Year",14.55,36.63,51180,36630,51180
"Savannah State University","Georgia","GA","Public","4 Year",7.762,6.794,14556,19870,27632
"School of the Art Institute of Chicago","Illinois","IL","Private","4 Year",15.89,49.27,65160,49270,65160
"School of the Museum of Fine Arts","Massachusetts","MA","Private","4 Year",14.56,56.382,70942,56382,70942
"School of Visual Arts","New York","NY","For Profit","4 Year",17.5,39.9,57400,39900,57400
"Schreiner University","Texas","TX","Private","4 Year",10.508,27.96,38468,27960,38468
"Scripps College","California","CA","Private","4 Year",16.932,55.024,71956,55024,71956
"Seattle Pacific University","Washington","WA","Private","4 Year",11.796,42.939,54735,42939,54735
"Seattle University","Washington","WA","Private","4 Year",12.288,44.61,56898,44610,56898
"Selma University","Alabama","AL","Private","4 Year",6.4,7.885,14285,7885,14285
"Seminole State College","Oklahoma","OK","Public","2 Year",7.07,5.04,12110,11160,18230
"Seton Hall University","New Jersey","NJ","Private","4 Year",15.8,42.47,58270,42470,58270
"Seton Hill University","Pennsylvania","PA","Private","4 Year",11.884,35.748,47632,35748,47632
"Sewanee: The University of the South","Tennessee","TN","Private","4 Year",12.88,45.12,58000,45120,58000
"Seward County Community College","Kansas","KS","Public","2 Year",5.01,2.97,7980,4110,9120
"Shasta Bible College and Graduate School","California","CA","Private","4 Year",2.8,11.35,14150,11350,14150
"Shaw University","North Carolina","NC","Private","4 Year",8.158,16.48,24638,16480,24638
"Shawnee State University","Ohio","OH","Public","4 Year",10.864,8.556,19420,14714,25578
"Shenandoah University","Virginia","VA","Private","4 Year",10.37,32.53,42900,32530,42900
"Shepherd University","West Virginia","WV","Public","4 Year",10.5,7.548,18048,18048,28548
"Sheridan College","Wyoming","WY","Public","2 Year",7.443,3.396,10839,7908,15351
"Shippensburg University of Pennsylvania","Pennsylvania","PA","Public","4 Year",12.268,12.718,24986,20510,32778
"Shor Yoshuv Rabbinical College","New York","NY","Private","4 Year",6,9.46,15460,9460,15460
"Shoreline Community College","Washington","WA","Public","2 Year",10.26,4.73,14990,7268,17528
"Shorter University","Georgia","GA","Private","4 Year",9.4,22.37,31770,22370,31770
"Siena College","New York","NY","Private","4 Year",15,37.575,52575,37575,52575
"Siena Heights University","Michigan","MI","Private","4 Year",10.62,27.124,37744,27124,37744
"Sierra College","California","CA","Public","2 Year",11.063,1.43,12493,9010,20073
"Sierra Nevada College","Nevada","NV","Private","4 Year",13.357,34.241,47598,34241,47598
"Silver Lake College of the Holy Family","Wisconsin","WI","Private","4 Year",8.4,28.39,36790,28390,36790
"Simmons College","Massachusetts","MA","Private","4 Year",15.2,40.8,56000,40800,56000
"Simpson College","Iowa","IA","Private","4 Year",8.38,39.144,47524,39144,47524
"Simpson University","California","CA","Private","4 Year",8.14,27.7,35840,27700,35840
"Skidmore College","New York","NY","Private","4 Year",14.494,54.42,68914,54420,68914
"Slippery Rock University of Pennsylvania","Pennsylvania","PA","Public","4 Year",10.312,10.517,20829,18233,28545
"Smith College","Massachusetts","MA","Private","4 Year",17.52,52.404,69924,52404,69924
"Snead State Community College","Alabama","AL","Public","2 Year",3.611,4.8,8411,8670,12281
"Snow College","Utah","UT","Public","2 Year",3.388,3.742,7130,12562,15950
"Soka University of America","California","CA","Private","4 Year",12.53,31.31,43840,31310,43840
"Sonoma State University","California","CA","Public","4 Year",13.96,7.798,21758,19678,33638
"South Carolina State University","South Carolina","SC","Public","4 Year",9.89,11.06,20950,21750,31640
"South Dakota School of Mines and Technology","South Dakota","SD","Public","4 Year",8.44,9.779,18219,14021,22461
"South Dakota State University","South Dakota","SD","Public","4 Year",7.896,8.764,16660,12128,20024
