"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"Brandeis University","Massachusetts","MA","Private","4 Year",15.44,55.395,70835,55395,70835
"Brenau University","Georgia","GA","Private","4 Year",12.418,29.05,41468,29050,41468
"Brescia University","Kentucky","KY","Private","4 Year",9.2,22.4,31600,22400,31600
"Brevard College","North Carolina","NC","Private","4 Year",9.9,29.35,39250,29350,39250
"Brewton-Parker College","Georgia","GA","Private","4 Year",7.85,18.69,26540,18690,26540
"Briar Cliff University","Iowa","IA","Private","4 Year",9.02,31.964,40984,31964,40984
"Bridgewater College","Virginia","VA","Private","4 Year",12.72,35.16,47880,35160,47880
"Bridgewater State University","Massachusetts","MA","Public","4 Year",13.09,10.367,23457,16507,29597
"Brigham Young University","Utah","UT","Private","4 Year",7.628,5.62,13248,5620,13248
"Brigham Young University-Hawaii","Hawaii","HI","Private","4 Year",6.586,5.56,12146,5560,12146
"Brigham Young University-Idaho","Idaho","ID","Private","4 Year",4.592,4.118,8710,4118,8710
"Broome Community College","New York","NY","Public","2 Year",11.818,5.482,17300,10210,22028
"Brown University","Rhode Island","RI","Private","4 Year",14.67,55.656,70326,55656,70326
"Bryan College: Dayton","Tennessee","TN","Private","4 Year",7.5,26.8,34300,26800,34300
"Bryant University","Rhode Island","RI","Private","4 Year",15.702,43.973,59675,43973,59675
"Bryn Athyn College","Pennsylvania","PA","Private","4 Year",11.886,22.815,34701,22815,34701
"Bryn Mawr College","Pennsylvania","PA","Private","4 Year",16.5,52.36,68860,52360,68860
"Bucknell University","Pennsylvania","PA","Private","4 Year",13.662,56.092,69754,56092,69754
"Bucks County Community College","Pennsylvania","PA","Public","2 Year",1.5,5.66,7160,14660,16160
"Buena Vista University","Iowa","IA","Private","4 Year",9.538,34.004,43542,34004,43542
"Butler Community College","Kansas","KS","Public","2 Year",5.95,3.18,9130,5310,11260
"Butler University","Indiana","IN","Private","4 Year",13.83,41.12,54950,41120,54950
"Cabrini University","Pennsylvania","PA","Private","4 Year",12.266,31.92,44186,31920,44186
"Cairn University","Pennsylvania","PA","Private","4 Year",10.294,27.279,37573,27279,37573
"Caldwell University","New Jersey","NJ","Private","4 Year",12.025,34.715,46740,34715,46740
"California Baptist University","California","CA","Private","4 Year",12.16,33.478,45638,33478,45638
"California Christian College","California","CA","Private","4 Year",4.95,9.57,14520,9570,14520
"California College of the Arts","California","CA","Private","4 Year",10.136,49.138,59274,49138,59274
"California Institute of Technology","California","CA","Private","4 Year",15.525,52.362,67887,52362,67887
"California Institute of the Arts","California","CA","Private","4 Year",12.069,49.276,61345,49276,61345
"California Lutheran University","California","CA","Private","4 Year",13.779,42.693,56472,42693,56472
"California Maritime Academy","California","CA","Public","4 Year",12.576,7.135,19711,13273,25849
"California Polytechnic State University: San Luis Obispo","California","CA","Public","4 Year",13.796,9.816,23612,21696,35492
